"artist","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01"
"Angus & Julia Stone","85","3","0","1","0","1","124","7","46","7","3","8","6","10","15","9","12","3","7","5","10","5","4","0","4","3","10","2","7","3","1","0","0","0","0","0","3","2","1","0","0","0","0","0","117","26","0","9","15","1","1","126","7","0","1","0","12","0","7","3","0","4","0","0","0","0","7","1","1","3","8","0","1","0","1","1","0","1","0","1","0","0","0","0","0","7","0","3","73","42","26","3","3","0","1","0","0","0","1","0","0","14","6","2","10","0","7","1","1","2","1","0","1","2","5","1","0","0","1","8","4","3","1","3","0","0","1","1","1","0","0","0","0","1","0","1","1","3","2","0","0","0","0","2","0","0","0","0","0","0","0","0"
"Michael Jackson","0","4","0","0","8","0","2","0","9","0","0","0","0","2","21","0","106","8","9","0","6","12","0","0","0","8","22","0","8","29","0","0","8","3","2","1","0","0","1","0","0","0","17","0","0","0","6","6","49","11","0","0","0","0","0","0","1","0","0","14","0","1","0","50","0","0","12","3","3","0","5","1","1","0","0","0","0","12","1","18","0","0","0","0","0","0","0","0","10","0","3","2","1","0","1","0","52","62","10","40","0","14","0","0","0","0","9","0","0","5","0","0","1","1","5","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","3","65","4","0","0","0","0","6","0","2","0","0","12","3","0","1","14","0","0"
"Nelly Furtado","81","38","52","12","2","25","5","46","18","69","24","20","16","25","56","23","9","8","3","6","16","40","0","6","45","45","9","25","144","17","11","5","31","10","0","13","26","12","1","0","2","2","1","1","0","2","0","17","4","68","17","4","4","10","6","0","3","2","2","0","7","25","0","4","18","15","28","6","5","2","26","2","0","11","7","0","2","2","0","0","6","19","17","53","3","1","12","9","15","8","6","9","4","1","2","2","8","12","4","0","0","6","0","0","0","3","57","2","0","7","8","2","1","2","9","2","1","0","4","20","11","7","6","5","0","0","2","26","3","77","2","0","11","9","0","5","2","6","3","0","0","2","1","3","0","5","18","4","0","0","0","0"
"Mariah Carey","0","0","0","0","0","1","24","0","15","7","8","3","1","6","6","7","6","3","4","5","8","0","3","0","1","9","10","9","12","2","0","0","0","1","0","0","2","0","0","0","14","9","1","2","0","0","0","31","52","25","2","0","0","0","0","0","0","0","0","1","2","26","38","0","0","0","0","1","84","3","12","0","3","0","2","1","0","1","1","6","0","1","2","0","2","0","0","4","0","21","3","5","3","2","1","5","1","1","0","0","0","61","6","76","10","8","6","1","4","2","6","4","1","0","5","2","0","0","2","3","1","85","16","3","0","4","190","11","37","0","2","1","0","7","0","0","0","7","6","0","0","3","1","7","0","3","0","0","13","0","0","0"
"Britney Spears","0","0","15","4","1","14","3","123","183","57","128","52","51","48","29","160","11","28","17","5","45","36","6","52","21","14","6","2","7","5","6","2","2","31","25","68","42","4","2","5","1","2","46","67","14","4","0","2","2","16","1","0","2","3","1","0","0","1","5","1","1","2","2","0","0","2","2","0","13","21","26","0","1","2","12","7","43","2","0","3","1","0","0","0","17","0","0","5","19","9","3","4","3","6","4","0","1","1","1","0","0","1","2","8","1","1","3","2","3","5","3","1","0","2","6","3","0","0","3","16","86","3","1","7","1","7","5","27","4","0","0","0","0","1","12","0","0","1","1","0","0","0","0","21","2","5","6","1","0","0","0","0"
"Cheryl","7","1","0","1","6","49","143","16","9","42","14","14","12","23","22","20","12","9","9","11","19","21","7","4","24","71","20","6","14","11","2","0","2","34","13","52","22","7","1","2","0","0","6","0","2","0","0","6","0","14","0","0","2","0","222","27","1","0","3","0","1","1","1","0","0","0","0","0","0","2","21","0","0","1","0","0","1","0","0","5","0","1","0","31","1","0","0","1","0","0","1","0","4","0","0","13","34","3","2","0","0","1","47","11","1","1","4","1","16","48","21","20","7","1","7","3","0","0","19","9","5","2","2","3","0","63","2","0","0","0","9","0","3","0","0","2","17","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A Tribe Called Quest","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","121","380","73","25","37","79","25","25","5","5","30","0","16","0","1","15","33","0","1","10","9","3","1","1","3","0","2","0","0","18","3","1","1","0","0","0","0","0","0","3","0","6","0","2","2","4","0","0","0","35","1","0","0","0","0","0","0","9","7","21","14","7","7","5","1","6","0","1","1","2","0","0","1","4","0","0","1","7","2","6","4","0","4","0","3","4","6","0","0","0","2","1","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Eminem","0","12","24","1","1","259","3","35","62","65","36","8","19","10","29","103","41","12","43","100","39","7","3","0","15","79","22","28","46","11","35","11","13","74","146","18","2","33","0","13","17","15","130","14","4","9","0","0","62","32","10","13","1","7","1","40","1","12","2","0","2","3","6","2","0","0","2","4","0","5","14","0","0","3","0","0","0","2","1","2","0","0","0","3","0","14","0","3","30","17","36","164","10","19","8","5","7","4","1","12","83","3","4","0","0","10","4","2","8","6","2","4","0","0","7","4","90","13","2","7","3","3","1","4","0","1","5","1","7","0","0","2","0","16","2","0","0","5","0","0","0","0","0","0","3","43","8","30","2","2","1","0"
"Lady Gaga","184","54","0","6","8","11","22","4","12","69","21","45","146","59","31","33","50","17","31","16","33","19","15","5","19","2","2","2","17","6","4","3","3","3","5","36","28","2","3","8","4","0","10","0","1","0","0","2","0","5","0","0","3","1","1","1","1","0","0","1","4","4","3","1","0","1","1","0","0","3","17","1","2","0","2","1","0","12","2","1","0","0","1","2","2","1","0","4","5","11","1","9","9","2","2","2","5","8","0","0","0","4","2","1","7","0","4","0","2","4","3","0","2","1","11","0","0","0","7","7","40","8","8","6","0","3","1","1","0","0","0","0","0","2","2","0","0","1","1","2","0","0","0","5","1","2","6","2","0","0","0","0"
"Kendrick Lamar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","89","72","7","7","13","1","0","26","0","1","0","7","2","1","11","5","0","1","0","0","1","0","20","1","26","12","0","63","217","15","2","1","2","6","0","1","0","0","2","0","36","2","4","1","3","1","0","0","0","1","0","0","0","75","4","4","0","5","17","14","5","8","43","9","14","7","3","0","1","0","0","0","4","1","0","2","6","1","4","5","0","1","0","0","6","3","0","0","0","2","1","2","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","1","55","0","3","0","0","0","0","0"
"Ed Sheeran","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","45","2","22","1","45","5","8","2","7","3","1","3","2","1","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","2","0","1","1","170","25","9","7","4","0","0","0","1","0","0","1","0","1","2","0","0","8","9","1","7","3","0","3","0","4","0","0","1","3","2","4","8","190","2","13","17","3","4","4","4","4","27","4","2","1","0","2","1","0","0","0","1","0","0","0","0","2","0","2","2","269","45","11","1","8","31","5","3","11","11","9","10","5","5","1","3","3","6","2","0","1","0","1","14","23","3","1","39","20","91","0","21","1","3","12","7","13","1","2","42","0","0"
"Taylor Swift","0","0","0","32","137","35","8","6","4","5","18","6","4","7","16","23","4","0","6","6","7","13","10","0","3","2","3","1","7","4","0","1","2","2","0","0","5","1","116","43","8","0","0","0","0","0","0","0","0","54","0","29","36","52","1","0","0","0","1","1","1","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","5","29","17","118","166","133","191","54","130","55","14","12","11","0","2","4","30","6","3","127","153","12","19","86","274","231","83","93","126","96","210","80","92","41","54","548","571","213","69","135","371","49","7","49","302","256","38","4","19","2","10","372","38","380","130","97","52","204","90","16","1","63","448","66","50"
"Rihanna","1","1","5","6","56","22","93","131","133","33","22","100","12","21","62","13","8","21","147","40","33","6","12","33","19","27","3","3","22","33","41","13","9","10","4","40","19","4","22","1","1","0","17","0","9","0","0","1","0","1","2","0","1","5","0","0","0","5","21","101","23","5","8","0","0","1","16","140","52","190","44","12","172","8","46","2","1","3","2","1","0","2","0","1","2","68","5","14","54","20","4","8","5","2","4","3","19","10","0","0","0","2","3","3","0","2","6","2","8","14","3","2","2","3","72","5","0","1","1","7","19","59","3","3","15","13","6","1","2","0","0","0","0","2","0","0","0","2","0","21","0","0","0","0","0","0","4","2","0","1","0","0"
"Rita Ora","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","1","63","47","20","9","0","10","2","0","7","146","100","17","0","0","0","9","0","0","0","0","12","13","16","3","0","1","1","0","0","0","0","1","0","0","2","1","17","0","0","0","0","0","0","15","0","0","2","1","0","1","1","0","0","0","0","20","41","12","6","11","12","33","26","9","21","16","9","7","5","35","22","8","3","58","38","75","31","22","26","15","5","10","12","9","3","5","1","14","7","0","2","4","16","15","8","4","7","2","1","0","1","0","9","1","1","3","4","0","1","1","4","0","0","0","0","0","2","0","1","7","4","0","0","0","32"
"Kacey Musgraves","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","18","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","106","14","23","39","1","0","2","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","13","4","3","0","2","0","5","48","279","5","37","15","0","0","4","2","3","0","15","8","8","0","3","29","0","1","0","4","2","0","0","6","107","92","0","0","0","0","181","5","0","0","0","0","0","70","17","0","21","141","20","0","34","10","3","7","0","0","82","1","0","0","0","0","0"
"De La Soul","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","179","31","60","32","13","10","26","2","0","0","2","0","0","0","0","1","1","0","0","1","0","1","8","2","0","1","59","2","0","0","0","0","0","0","0","1","7","0","14","22","27","90","64","0","1","4","0","2","1","7","9","0","0","7","31","20","10","11","3","2","5","4","4","1","2","0","0","1","4","0","2","4","7","2","10","7","1","0","1","0","7","8","0","0","0","3","3","4","0","2","0","1","3","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0"
"Lykke Li","0","35","6","79","6","1","0","17","52","34","71","13","22","22","19","17","7","5","10","10","11","2","9","2","2","1","0","7","6","18","2","0","3","0","53","7","5","2","1","0","0","0","0","1","0","0","6","10","62","10","0","11","2","2","1","1","0","0","0","1","0","0","3","0","0","2","0","0","0","2","23","1","2","2","2","0","0","1","0","1","0","0","0","0","0","1","3","9","6","4","1","7","6","2","1","4","23","41","6","6","4","17","14","2","0","1","5","0","7","13","22","5","6","4","14","7","13","2","0","3","5","9","1","9","1","5","12","0","0","0","1","0","0","0","2","4","0","2","0","2","0","0","1","2","3","3","1","0","8","7","4","1"
"Alicia Keys","5","1","1","51","0","3","37","10","8","64","3","18","14","10","13","11","5","6","4","6","10","6","1","0","0","0","3","0","7","6","43","17","6","10","0","3","11","1","8","4","0","0","0","0","0","1","6","2","1","1","3","0","2","1","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","2","29","0","13","4","0","3","1","44","46","0","0","0","5","37","0","0","0","1","15","9","1","6","3","1","16","3","1","0","0","0","0","0","1","0","1","13","4","1","24","31","7","3","8","13","15","8","53","26","5","21","13","7","1","6","150","109","4","11","37","80","29","1","6","7","0","1","1","4","1","3","1","0","0","2","0","1","0","21","2","0","1","0"
"Nicki Minaj","0","0","0","0","0","0","0","0","28","34","115","25","26","7","4","54","4","60","36","61","74","35","12","138","12","26","100","82","40","7","40","7","15","7","9","6","48","6","1","22","0","0","1","0","0","9","0","1","15","41","2","0","0","2","0","133","25","2","3","1","4","3","2","0","1","0","0","0","2","0","29","0","0","1","0","0","1","3","0","3","0","0","10","10","1","0","0","4","21","13","6","9","5","0","4","1","1","1","35","143","0","7","2","5","16","5","8","3","6","6","6","2","3","2","8","7","0","0","2","4","6","2","21","6","0","2","0","0","0","0","1","0","2","1","0","1","0","3","18","0","0","24","7","101","10","1","2","1","12","10","6","3"
